id,name,slug,downloads,link
559041,ImprovedCraft,improvedcraft,1217,https://www.curseforge.com/minecraft/modpacks/improvedcraft
1220982,Project Everhaul,project-everhaul,88,https://www.curseforge.com/minecraft/modpacks/project-everhaul
1367750,Realms of Create,roc,11,https://www.curseforge.com/minecraft/modpacks/roc
1295521,The Pastlands SMP,the-pastlands-smp,1501,https://www.curseforge.com/minecraft/modpacks/the-pastlands-smp
960196,The Slimeworks,slimeworks,2011,https://www.curseforge.com/minecraft/modpacks/slimeworks
1245889,AdvoTech JJThunder,advotech-jjthunder,3934,https://www.curseforge.com/minecraft/modpacks/advotech-jjthunder
1366513,CreateZombies,createzombies,19,https://www.curseforge.com/minecraft/modpacks/createzombies
1366336,Return to the Front,return-to-the-front,11,https://www.curseforge.com/minecraft/modpacks/return-to-the-front
1366328,CreateMekanised,createmekanised,44,https://www.curseforge.com/minecraft/modpacks/createmekanised
1350548,MatrizJava,matrizjava,14,https://www.curseforge.com/minecraft/modpacks/matrizjava
1365562,DawnCrest Create SMP,dawncrest-create-smp,30,https://www.curseforge.com/minecraft/modpacks/dawncrest-create-smp
1351476,Slice Of Bread Server,goonplex-official-server-modpack,75,https://www.curseforge.com/minecraft/modpacks/goonplex-official-server-modpack
1343956,Akane's Quality Of Life,akanes-quality-of-life,508,https://www.curseforge.com/minecraft/modpacks/akanes-quality-of-life
1298792,Need of Creation,need-of-creation,246,https://www.curseforge.com/minecraft/modpacks/need-of-creation
1358218,Production and Destruction,production-and-destruction,13,https://www.curseforge.com/minecraft/modpacks/production-and-destruction
1099369,Nomispace Synergic Evolution (N.S.E),nomispace-synergic-evolution-n-s-e,388,https://www.curseforge.com/minecraft/modpacks/nomispace-synergic-evolution-n-s-e
1363411,Frostpunk Borealis,frostpunkborealis,206,https://www.curseforge.com/minecraft/modpacks/frostpunkborealis
1033089,Brimlight,brimlight,516,https://www.curseforge.com/minecraft/modpacks/brimlight
1351641,AgroKrach Majnr Boosted,agrokrach-majnr-boosted,273,https://www.curseforge.com/minecraft/modpacks/agrokrach-majnr-boosted
1122112,Create Holymen,createholymen,441,https://www.curseforge.com/minecraft/modpacks/createholymen
1288986,SCP Anomaly Craft,scp-anomaly-craft,1002,https://www.curseforge.com/minecraft/modpacks/scp-anomaly-craft
1362838,Traces Of Fantasy,traces-of-fantasy,13,https://www.curseforge.com/minecraft/modpacks/traces-of-fantasy
1360677,Midnight Pack (by Dekron),midnight-pack-by-dekron,22,https://www.curseforge.com/minecraft/modpacks/midnight-pack-by-dekron
938680,Volts Next Generation & Official Server ,volts-next-generation,2485,https://www.curseforge.com/minecraft/modpacks/volts-next-generation
1348744,Nexora Project,nexora-project,39,https://www.curseforge.com/minecraft/modpacks/nexora-project
